"","V1"
"1",-174.495555555556
"2",-92.5431818181819
"3",-30.5068965517241
"4",-0.742857142857143
"5",-5.22500000000001
"6",-79.7787878787879
"7",-38.5
"8",-8.2
"9",-209.72
"10",-50.1083333333333
"11",0.566666666666666
"12",-326.176923076923
"13",-322.484615384615
"14",-18.8846153846154
"15",-12.5130434782609
"16",-16.7473684210526
"17",-33.2416666666663
"18",-86.8596638655462
"19",-244.638095238095
"20",-35.6571428571428
"21",-19.2166666666667
"22",-3.84
"23",-169.218181818182
"24",-44.4333333333333
"25",-97.1756097560976
"26",-19.2166666666667
"27",-97.1756097560976
"28",81.7666666666669
"29",-20.8214285714284
"30",-47.6
"31",-24.2454545454545
"32",-6.74999999999999
"33",-96.1388888888891
"34",-116.677777777778
"35",8.84468085106391
"36",43.2866666666667
"37",-142.030769230769
"38",8.10000000000002
"39",-13.3047619047619
"40",-95.3972222222222
"41",-73.6338983050848
"42",-26.4714285714286
"43",-50.4675824175824
"44",-48.0428571428571
"45",-242.417647058823
"46",-13.3047619047619
"47",-27.2
"48",-3.66666666666667
"49",-47.8529411764706
"50",-37.7117647058824
"51",-5.8
"52",-8.33333333333332
"53",-40.3777777777778
"54",-160.5
"55",-79.7787878787879
"56",-214.095
"57",-3.1
"58",-54.0153846153846
"59",-28.975
"60",-197.688888888889
"61",-32.5
"62",-30.1642857142857
"63",-10.8
"64",-167.727272727273
"65",-13.2315789473684
"66",-158.908
"67",-57.983908045977
"68",-86.8596638655462
"69",-79.7787878787879
"70",-79.7787878787879
"71",-4.95
"72",-79.1896551724138
"73",-230.4
"74",-116.319230769231
"75",-1.25
"76",-100.433962264151
"77",-22.3731707317073
"78",-541.8125
"79",-2.29
"80",-9.62
"81",-103.625862068965
"82",-740.86
"83",-34.3277777777778
"84",-57.983908045977
"85",-6.4920454545454
"86",-259.06
"87",-12.7333333333333
"88",-29.1541666666667
"89",-596.666666666667
"90",47.2631578947369
"91",67.0400000000002
"92",10.8
"93",-57.983908045977
"94",36.3566666666667
"95",-95.9038461538462
"96",-20.6545454545455
"97",-119.3671875
"98",-6.23
"99",12.4882352941177
"100",5.12564102564102
"101",-57.983908045977
"102",-23.2153846153846
"103",-406.4
"104",-79.7787878787879
"105",-158.908
"106",-18.3916666666667
"107",-62.5733333333333
"108",-240.017647058824
"109",-134.057142857143
"110",-18.8230769230769
"111",-44.1677419354839
"112",-6.4920454545454
"113",-6.77857142857142
"114",-47.1444444444445
"115",47.2631578947369
"116",-233.957142857143
"117",-14.6125
"118",-29.3611111111111
"119",-24.547222222222
"120",-58.2383333333335
"121",-99.7255813953489
"122",-3.15833333333334
"123",-100.433962264151
"124",-55.7416666666667
"125",-57.983908045977
"126",-73.6338983050848
"127",-240.017647058824
"128",-134.057142857143
"129",36.6030303030302
"130",-44.7247311827955
"131",-7.7090909090909
"132",-27.378125
"133",-32.05
"134",-16.7473684210526
"135",-9.405
"136",-6.83846153846154
"137",-29.6357142857143
"138",-23.2153846153846
"139",-3.6613636363636
"140",-252.684615384615
"141",-97.3434782608696
"142",-7.01428571428571
"143",-123.548387096774
"144",-2.68
"145",-230.4
"146",-153.245454545455
"147",-51.6459459459459
"148",-86.8596638655462
"149",-2.32222222222222
"150",-4.38000000000011
"151",-82.5913043478263
"152",-182.946666666667
"153",-3.71363636363636
"154",-79.7787878787879
"155",-12.5130434782609
"156",-7.54705882352937
"157",-28.865
"158",-158.908
"159",-97.1756097560976
"160",-14.2263157894737
"161",-73.6338983050848
"162",-30.5068965517241
"163",-79.7787878787879
"164",-261.716216216216
"165",-29.3611111111111
"166",-24.3055555555555
"167",-10.8
"168",-214.717647058824
"169",-71.5285714285712
"170",-100.433962264151
"171",-37.7117647058824
"172",-50.4675824175824
"173",-278.108333333333
"174",-3.6613636363636
"175",-8.33333333333333
"176",-92.5431818181819
"177",-214.095
"178",-93.8681818181817
"179",-2.29
"180",-5.82307692307693
"181",-252.684615384615
"182",-170.619047619048
"183",-6.38235294117652
"184",32.4631578947368
"185",17.5611111111111
"186",-169.64
"187",-111.922222222222
"188",15.5045454545455
"189",156.352631578947
"190",-0.742857142857143
"191",-61.9312500000001
"192",-44.7247311827955
"193",-160.233333333333
"194",-4.96470588235294
"195",-366.328571428572
"196",-32.5
"197",-29.5333333333333
"198",-13.3933333333332
"199",-69.9909090909091
"200",-152.20243902439
"201",-103.625862068965
"202",-8.4125
"203",-110.4
"204",-32.05
"205",-34.8555555555556
"206",-97.1756097560976
"207",-74.3000000000002
"208",67.0400000000002
"209",-218.3
"210",-86.8596638655462
"211",-8.91000000000001
"212",-363.936363636363
"213",-3.1
"214",-103.625862068965
"215",-12.2363636363636
"216",-276.516666666667
"217",-6.24166666666667
"218",-2.45
"219",-69.9909090909091
"220",-0.742857142857143
"221",-14.0571428571429
"222",-175.938461538462
"223",-125.538461538462
"224",-191.911764705882
"225",-18.3916666666667
"226",-144.56
"227",-23.2153846153846
"228",-13.9333333333333
"229",-134.057142857143
"230",-6.71538461538461
"231",-21.7878787878788
"232",5.12564102564102
"233",29.3045454545455
"234",-16.7473684210526
"235",32.4631578947368
"236",15.5045454545455
"237",-86.8596638655462
"238",-82.5913043478263
"239",-58.2383333333335
"240",-57.983908045977
"241",114.394444444444
"242",-28.595652173913
"243",-10.225
"244",-38.7470588235294
"245",12.3145161290322
"246",-240.017647058824
"247",-93.8681818181817
"248",-100.433962264151
"249",46.5565217391304
"250",-148.881818181818
"251",-180.097297297297
"252",-10.05
"253",-160.233333333333
"254",-21.5272727272727
"255",36.6030303030302
"256",-214.095
"257",-180.097297297297
"258",-284.9875
"259",-16.0083333333333
"260",-34.125
"261",-20.6545454545455
"262",-6.30625
"263",-28.2076923076923
"264",-97.1756097560976
"265",-22.4785714285714
"266",-113.760714285714
"267",-58.2383333333335
"268",-51.7538461538461
"269",-160.233333333333
"270",-40.56875
"271",-6.4920454545454
"272",-6.4920454545454
"273",77.3736842105263
"274",347.225
"275",-174.934782608696
"276",-16.7473684210526
"277",-40.2944444444445
"278",-97.1756097560976
"279",-8.06666666666666
"280",-219.233333333333
"281",-112.396610169491
"282",-19.9
"283",-152.20243902439
"284",-58.2383333333335
"285",-16.8166666666667
"286",-57.983908045977
"287",-93.3227272727272
"288",-5.8
"289",-10.225
"290",-191.637037037037
"291",5.12564102564102
"292",-44.1677419354839
"293",-57.66
"294",-34.3277777777778
"295",-165.919047619048
"296",-6.4920454545454
"297",-127.5
"298",113.442424242424
